MYOCD,hsa-mir-145-5p
MTDH,hsa-mir-145-5p
TUG1,hsa-mir-145-5p
CAMK1D,hsa-mir-145-5p
FXN,hsa-mir-145-5p
CRNDE,hsa-mir-145-5p
PXN,hsa-mir-145-5p
MSH3,hsa-mir-145-5p
CD40,hsa-mir-145-5p
TGFB2,hsa-mir-145-5p
SMAD2,hsa-mir-145-5p
VPS51,hsa-mir-145-5p
IGF1R,hsa-mir-223-5p
RAB12,hsa-mir-223-5p
FBXO8,hsa-mir-223-5p
EGF,hsa-mir-223-5p
FBXW7,hsa-mir-223-5p
HDAC9,hsa-mir-29a-5p
PTEN,hsa-mir-29a-5p
TAB1,hsa-mir-29a-5p
COL3A1,hsa-mir-29a-5p
SPARC,hsa-mir-29a-5p
DKK1,hsa-mir-29a-5p
GSK3B,hsa-mir-29a-5p
ST2,hsa-mir-29a-5p
DNMT3A,hsa-mir-29c-5p
DNMT3B,hsa-mir-29c-5p
CPEB4,hsa-mir-29c-5p
WNT4,hsa-mir-29c-5p
HOXD10,hsa-mir-10b-5p
KLF4,hsa-mir-10b-5p
PPARA,hsa-mir-10b-5p
NCOR2,hsa-mir-10b-5p
NF1,hsa-mir-10b-5p
PIEZO1,hsa-mir-10b-5p
BCL2L11,hsa-mir-10b-5p
TFAP2C,hsa-mir-10b-5p
CDKN2A,hsa-mir-10b-5p
CDKN1A,hsa-mir-10b-5p
TRA2B,hsa-mir-10b-5p
SRSF1,hsa-mir-10b-5p
TP53,hsa-mir-10b-5p
NOTCH1,hsa-mir-10b-5p
PAX6,hsa-mir-10b-5p
MAPRE1,hsa-mir-10b-5p
SDC1,hsa-mir-10b-5p
TPM1,hsa-mir-10b-5p
PDCD4,hsa-mir-10b-5p
TIAM1,hsa-mir-10b-5p
PTEN,hsa-mir-10b-5p
HTATIP2,hsa-mir-10b-5p
DDX58,hsa-mir-10b-5p
HOXB3,hsa-mir-10b-5p
GP1BA,hsa-mir-10b-5p
MBNL1,hsa-mir-10b-5p
SART3,hsa-mir-10b-5p
MBNL2,hsa-mir-10b-5p
RSRC1,hsa-mir-10b-5p
MBNL3,hsa-mir-10b-5p
KL,hsa-mir-10b-5p
CSMD1,hsa-mir-10b-5p
ZEB1,hsa-mir-10b-5p
PIK3CA,hsa-mir-10b-5p
CREB1,hsa-mir-10b-5p
AKT1,hsa-mir-10b-5p
S1PR1,hsa-mir-125b-1-3p
TACSTD2,hsa-mir-125b-1-3p
SGPL1,hsa-mir-125b-1-3p
BIK,hsa-mir-125b-1-3p
MTFP1,hsa-mir-125b-1-3p
BGLAP,hsa-mir-125b-1-3p
FRZB,hsa-mir-125b-1-3p
TP53,hsa-mir-125b-1-3p
MAP2K7,hsa-mir-125b-1-3p
