TGFB2,g213,6
SMAD2,g214,6
VPS51,g215,6
RAB12,g216,6
FBXO8,g217,6
EGF,g218,6
FBXW7,g219,6
HDAC9,g220,6
PTEN,g221,6
TAB1,g222,6
COL3A1,g223,6
SPARC,g224,6
DKK1,g225,6
GSK3B,g226,6
ST2,g227,6
DNMT3A,g228,6
DNMT3B,g229,6
CPEB4,g230,6
HOXD10,g231,6
PPARA,g232,6
NF1,g233,6
PIEZO1,g234,6
BCL2L11,g235,6
TFAP2C,g236,6
CDKN2A,g237,6
TRA2B,g238,6
SRSF1,g239,6
NOTCH1,g240,6
PAX6,g241,6
MAPRE1,g242,6
SDC1,g243,6
TPM1,g244,6
PDCD4,g245,6
TIAM1,g246,6
HTATIP2,g247,6
DDX58,g248,6
HOXB3,g249,6
GP1BA,g250,6
MBNL1,g251,6
SART3,g252,6
MBNL2,g253,6
RSRC1,g254,6
MBNL3,g255,6
KL,g256,6
CSMD1,g257,6
ZEB1,g258,6
PIK3CA,g259,6
CREB1,g260,6
AKT1,g261,6
S1PR1,g262,6
TACSTD2,g263,6
SGPL1,g264,6
BIK,g265,6
MTFP1,g266,6
BGLAP,g267,6
FRZB,g268,6
MAP2K7,g269,6
ITGA9,g270,6
HOXA1,g271,6
USF2,g272,6
MAP3K7,g273,6
BTRC,g274,6
EPHA4,g275,6
CHL1,g276,6
ACTG1,g277,6
PIK3CG,g278,6
NOD2,g279,6
MAPK8IP1,g280,6
BCL6,g281,6
SLC45A3,g282,6
SPRED1,g283,6
PTPN7,g284,6
ADAM9,g285,6
MMP7,g286,6
CXCL12,g287,6
HOTAIR,g288,6
CRK,g289,6
CYLD,g290,6
ZNFX1,g291,6
CCL1,g292,6
GPR137B,g293,6
NABP1,g294,6
NPAT,g295,6
JAK1,g296,6
PTPRO,g297,6
PKD2,g298,6
E2F1,g299,6
MAP3K12,g300,6
MEF2D,g301,6
RUNX1,g302,6
MAPK9,g303,6
DNAJC27,g304,6
FBXO31,g305,6
HIF1A,g306,6
TNFSF12,g307,6
BMPR2,g308,6
NCOA3,g309,6
